weight_iv_premium,consensus_threshold,regime_extreme_low_scalar,regime_crisis_scalar,use_asymmetric_targets,sharpe,nw_sharpe,total_return,max_drawdown,trades
0.24,0.18,1.5,0.5,False,0.9558886394877839,-1.2846792751007619,8.036543522252833,-2.4098569594113615,47
0.29,0.15,1.8,0.3,True,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.12,1.8,0.5,True,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.18,1.8,0.5,False,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.18,1.8,0.5,True,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.18,1.8,0.3,False,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.18,1.8,0.3,True,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.15,1.8,0.3,False,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.12,1.8,0.3,True,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.12,1.8,0.3,False,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.15,1.8,0.5,False,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.12,1.8,0.5,False,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.29,0.15,1.8,0.5,True,0.9422817200470128,-0.8090996637108113,10.201299146072197,-3.257749900945417,47
0.19,0.15,1.8,0.5,False,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.15,1.8,0.5,True,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.18,1.8,0.3,False,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.15,1.8,0.3,True,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.18,1.8,0.5,True,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
0.19,0.18,1.8,0.5,False,0.9316849087320379,-1.3638950734397257,7.6306592186386695,-2.536005416815422,47
